citation,full_reference,exp,,
calfapietra_et_al_2007,"calfapietra_c,_wiberley_ae,_falbel_tg,_linskey_ar,_mugnozza_gs,_karnosky_df,_loreto_f,_sharkey_td_(2007)_isoprene_synthase_expression_and_protein_levels_are_reduced_under_elevated_o3_but_not_under_elevated_co2_(face)_in_field-grown_aspen_trees_plant,_cell_&_environment_30:654–661",euroface_pe_c,,
calfapietra_et_al_2007,"calfapietra_c,_wiberley_ae,_falbel_tg,_linskey_ar,_mugnozza_gs,_karnosky_df,_loreto_f,_sharkey_td_(2007)_isoprene_synthase_expression_and_protein_levels_are_reduced_under_elevated_o3_but_not_under_elevated_co2_(face)_in_field-grown_aspen_trees_plant,_cell_&_environment_30:654–661",euroface_pn_c,,
calfapietra_et_al_2008,"calfapietra_c,_scarascia_mugnozza_g,_karnosky_df,_loreto_f,_sharkey_td_(2008)_isoprene_emission_rates_under_elevated_co2_and_o3_in_two_field-grown_aspen_clones_differing_in_their_sensitivity_to_o3_new_phytologist_179:55–61",aspenface_pt_c,,
canarini_et_al_2016,"canarini_et_al,_2016_soil_microbial_community_resistance_to_drought_and_links_to_c_stabilization_in_an_australian_grassland",sydney_f,,
canarini_et_al_2016,"canarini_et_al,_2016_soil_microbial_community_resistance_to_drought_and_links_to_c_stabilization_in_an_australian_grassland",sydney_f2,,
cantarel_et_al_2013,"cantarel,_a_a,_bloor,_j_m,_&_soussana,_j_f_(2013)_four_years_of_simulated_climate_change_reduces_above‐ground_productivity_and_alters_functional_diversity_in_a_grassland_ecosystem journal_of_vegetation_science, 24(1),_113-126",clermont_cwd,,
cantarel_et_al_2013,"cantarel,_a_a,_bloor,_j_m,_&_soussana,_j_f_(2013)_four_years_of_simulated_climate_change_reduces_above‐ground_productivity_and_alters_functional_diversity_in_a_grassland_ecosystem journal_of_vegetation_science, 24(1),_113-126",clermont_dw,,
cantarel_et_al_2013,"cantarel,_a_a,_bloor,_j_m,_&_soussana,_j_f_(2013)_four_years_of_simulated_climate_change_reduces_above‐ground_productivity_and_alters_functional_diversity_in_a_grassland_ecosystem journal_of_vegetation_science, 24(1),_113-126",clermont_w,,
cao_et_al_2011,"cao_et_al_2011_effects_of_artificial_nitrogen_and_phosphorus_depositions_on_soil_respiration_in_two_plantations_in_southern_china_journal_of_tropical_forest_science_23,_110-116",heshan_acacia_fn,,
cao_et_al_2011,"cao_et_al_2011_effects_of_artificial_nitrogen_and_phosphorus_depositions_on_soil_respiration_in_two_plantations_in_southern_china_journal_of_tropical_forest_science_23,_110-116",heshan_acacia_fnp,,
cao_et_al_2011,"cao_et_al_2011_effects_of_artificial_nitrogen_and_phosphorus_depositions_on_soil_respiration_in_two_plantations_in_southern_china_journal_of_tropical_forest_science_23,_110-116",heshan_acacia_fp,,
cao_et_al_2011,"cao_et_al_2011_effects_of_artificial_nitrogen_and_phosphorus_depositions_on_soil_respiration_in_two_plantations_in_southern_china_journal_of_tropical_forest_science_23,_110-116",heshan_eucalyptus_fn,,
cao_et_al_2011,"cao_et_al_2011_effects_of_artificial_nitrogen_and_phosphorus_depositions_on_soil_respiration_in_two_plantations_in_southern_china_journal_of_tropical_forest_science_23,_110-116",heshan_eucalyptus_fnp,,
cao_et_al_2011,"cao_et_al_2011_effects_of_artificial_nitrogen_and_phosphorus_depositions_on_soil_respiration_in_two_plantations_in_southern_china_journal_of_tropical_forest_science_23,_110-116",heshan_eucalyptus_fp,,
cardon_et_al_2001,"cardon_et_al,_2001_contrasting_effects_of_elevated_co2_on_old_and_new_soil_carbon_pools_soil_biology_&_biochemistry_33,_365-373",jrbp_otcsand_c,,
cardon_et_al_2001,"cardon_et_al,_2001_contrasting_effects_of_elevated_co2_on_old_and_new_soil_carbon_pools_soil_biology_&_biochemistry_33,_365-373",jrbp_otcsand_cf,,
cardon_et_al_2001,"cardon_et_al,_2001_contrasting_effects_of_elevated_co2_on_old_and_new_soil_carbon_pools_soil_biology_&_biochemistry_33,_365-373",jrbp_otcser_c,,
cardon_et_al_2001,"cardon_et_al,_2001_contrasting_effects_of_elevated_co2_on_old_and_new_soil_carbon_pools_soil_biology_&_biochemistry_33,_365-373",jrbp_otcser_cf,,
carnol_et_al_2002,"carnol_m,_hogenboom_l,_jach_me,_remacle_j,_ceulemans_r_(2002)_elevated_atmospheric_co2_in_open_top_chambers_increases_net_nitrification_and_potential_denitrification_global_change_biology,_8,_590-598",ua_otc_c,,
carter_et_al_2011,"carter_et_al_,_2011_effects_of_elevated_atmospheric_co2,_prolonged_summer_drought_and_temperature_increase_on_n2o_and_ch4_fluxes_in_a_temperate_heathland",climaite_c,,
carter_et_al_2011,"carter_et_al_,_2011_effects_of_elevated_atmospheric_co2,_prolonged_summer_drought_and_temperature_increase_on_n2o_and_ch4_fluxes_in_a_temperate_heathland",climaite_cd,,
carter_et_al_2011,"carter_et_al_,_2011_effects_of_elevated_atmospheric_co2,_prolonged_summer_drought_and_temperature_increase_on_n2o_and_ch4_fluxes_in_a_temperate_heathland",climaite_cdw,,
carter_et_al_2011,"carter_et_al_,_2011_effects_of_elevated_atmospheric_co2,_prolonged_summer_drought_and_temperature_increase_on_n2o_and_ch4_fluxes_in_a_temperate_heathland",climaite_cw,,
carter_et_al_2011,"carter_et_al_,_2011_effects_of_elevated_atmospheric_co2,_prolonged_summer_drought_and_temperature_increase_on_n2o_and_ch4_fluxes_in_a_temperate_heathland",climaite_d,,
carter_et_al_2011,"carter_et_al_,_2011_effects_of_elevated_atmospheric_co2,_prolonged_summer_drought_and_temperature_increase_on_n2o_and_ch4_fluxes_in_a_temperate_heathland",climaite_dw,,
carter_et_al_2011,"carter_et_al_,_2011_effects_of_elevated_atmospheric_co2,_prolonged_summer_drought_and_temperature_increase_on_n2o_and_ch4_fluxes_in_a_temperate_heathland",climaite_w,,
castro_et_al_2009,"joseph_c_castro,_frank_g_dohleman,_carl_j_bernacchi_and_stephen_p_long",soyfacesoy2_c,,
castro_et_al_2009,"joseph_c_castro,_frank_g_dohleman,_carl_j_bernacchi_and_stephen_p_long",soyfacesoy3_c,,
castro_et_al_2009,"joseph_c_castro,_frank_g_dohleman,_carl_j_bernacchi_and_stephen_p_long",soyfacesoy4_c,,
chai_et_al_2014,"chai_et_al,_2014_response_of_soil_organic_carbon_and_its_aggregate_fractions_to_long-
term_fertilization_in_irrigated_desert_soil_of_china_journal_of_integrative_agriculture
2014,_13(12):_2758-2767",gansu_aestivumandmays_f,,
chapin_et_al_1995,"chapin,_fs_iii_et_al_responses_of_arctic_tundra_to_experimental_and_observed_changes_in_climate_ecology,_vol_76,_no_3_(apr,_1995)_,_pp_694-711",toolik_nonacidic_f,,
chapin_et_al_1995,"chapin,_fs_iii_et_al_responses_of_arctic_tundra_to_experimental_and_observed_changes_in_climate_ecology,_vol_76,_no_3_(apr,_1995)_,_pp_694-711",toolik_nonacidic_fw,,
chapin_et_al_1995,"chapin,_fs_iii_et_al_responses_of_arctic_tundra_to_experimental_and_observed_changes_in_climate_ecology,_vol_76,_no_3_(apr,_1995)_,_pp_694-711",toolik_nonacidic_l,,
chapin_et_al_1995,"chapin,_fs_iii_et_al_responses_of_arctic_tundra_to_experimental_and_observed_changes_in_climate_ecology,_vol_76,_no_3_(apr,_1995)_,_pp_694-711",toolik_nonacidic_w,,
charles_and_dukes_2009,"charles,_h_&_dukes,_j_s_(2009)_Effects_of_warming_and_altered_precipitation_on_plant_and_nutrient_dynamics_of_a_new_england_salt_marsh_ecol_appl_19,_1758-1773",lter_salterniflora_d,,
charles_and_dukes_2009,"charles,_h_&_dukes,_j_s_(2009)_Effects_of_warming_and_altered_precipitation_on_plant_and_nutrient_dynamics_of_a_new_england_salt_marsh_ecol_appl_19,_1758-1773",lter_spatens_d,,
chen_et_al_2008,"chen,_s,_lin,_g,_huang,_j,_&_he,_m_(2008)_Responses_of_soil_respiration_to_simulated_precipitation_pulses_in_semiarid_steppe_under_different_grazing_regimes_journal_of_plant_ecology,_1(4),_237-246",imgers_hg_pulse_i,,
chen_et_al_2008,"chen,_s,_lin,_g,_huang,_j,_&_he,_m_(2008)_Responses_of_soil_respiration_to_simulated_precipitation_pulses_in_semiarid_steppe_under_different_grazing_regimes_journal_of_plant_ecology,_1(4),_237-246",imgers_hg_pulse_i2,,
chen_et_al_2008,"chen,_s,_lin,_g,_huang,_j,_&_he,_m_(2008)_Responses_of_soil_respiration_to_simulated_precipitation_pulses_in_semiarid_steppe_under_different_grazing_regimes_journal_of_plant_ecology,_1(4),_237-246",imgers_hg_pulse_i3,,
chen_et_al_2008,"chen,_s,_lin,_g,_huang,_j,_&_he,_m_(2008)_Responses_of_soil_respiration_to_simulated_precipitation_pulses_in_semiarid_steppe_under_different_grazing_regimes_journal_of_plant_ecology,_1(4),_237-246",imgers_hg_pulse_i4,,
chen_et_al_2008,"chen,_s,_lin,_g,_huang,_j,_&_he,_m_(2008)_Responses_of_soil_respiration_to_simulated_precipitation_pulses_in_semiarid_steppe_under_different_grazing_regimes_journal_of_plant_ecology,_1(4),_237-246",imgers_hg_pulse_i5,,
chen_et_al_2008,"chen,_s,_lin,_g,_huang,_j,_&_he,_m_(2008)_Responses_of_soil_respiration_to_simulated_precipitation_pulses_in_semiarid_steppe_under_different_grazing_regimes_journal_of_plant_ecology,_1(4),_237-246",imgers_ng_pulse_i,,
chen_et_al_2008,"chen,_s,_lin,_g,_huang,_j,_&_he,_m_(2008)_Responses_of_soil_respiration_to_simulated_precipitation_pulses_in_semiarid_steppe_under_different_grazing_regimes_journal_of_plant_ecology,_1(4),_237-246",imgers_ng_pulse_i2,,
chen_et_al_2008,"chen,_s,_lin,_g,_huang,_j,_&_he,_m_(2008)_Responses_of_soil_respiration_to_simulated_precipitation_pulses_in_semiarid_steppe_under_different_grazing_regimes_journal_of_plant_ecology,_1(4),_237-246",imgers_ng_pulse_i3,,
chen_et_al_2008,"chen,_s,_lin,_g,_huang,_j,_&_he,_m_(2008)_Responses_of_soil_respiration_to_simulated_precipitation_pulses_in_semiarid_steppe_under_different_grazing_regimes_journal_of_plant_ecology,_1(4),_237-246",imgers_ng_pulse_i4,,
chen_et_al_2008,"chen,_s,_lin,_g,_huang,_j,_&_he,_m_(2008)_Responses_of_soil_respiration_to_simulated_precipitation_pulses_in_semiarid_steppe_under_different_grazing_regimes_journal_of_plant_ecology,_1(4),_237-246",imgers_ng_pulse_i5,,
chen_et_al_2009,"chen,_s,_lin,_g,_huang,_j,_&_jenerette,_g_d_(2009)_dependence_of_carbon_sequestration_on_the_differential_responses_of_ecosystem_photosynthesis_and_respiration_to_rain_pulses_in_a_semiarid_steppe_global_change_biology,_15(10),_2450-2461",duolon8_i,,
chen_et_al_2009,"chen,_s,_lin,_g,_huang,_j,_&_jenerette,_g_d_(2009)_dependence_of_carbon_sequestration_on_the_differential_responses_of_ecosystem_photosynthesis_and_respiration_to_rain_pulses_in_a_semiarid_steppe_global_change_biology,_15(10),_2450-2461",duolon8_i2,,
chen_et_al_2009,"chen,_s,_lin,_g,_huang,_j,_&_jenerette,_g_d_(2009)_dependence_of_carbon_sequestration_on_the_differential_responses_of_ecosystem_photosynthesis_and_respiration_to_rain_pulses_in_a_semiarid_steppe_global_change_biology,_15(10),_2450-2461",duolon8_i3,,
chen_et_al_2009,"chen,_s,_lin,_g,_huang,_j,_&_jenerette,_g_d_(2009)_dependence_of_carbon_sequestration_on_the_differential_responses_of_ecosystem_photosynthesis_and_respiration_to_rain_pulses_in_a_semiarid_steppe_global_change_biology,_15(10),_2450-2461",duolon8_i4,,
chen_et_al_2009,chen_et_al2009_dependence_of_carbon_sequestration_on_the_differential_responses_of_ecosystem_photosynthesis_and_respiration_to_rain_pulses_in_a_semiarid_steppe,duolun_b_f,,
chen_et_al_2010,"chen_et_al2010_short-term_effects_of_night_warming_and_nitrogen_addition_on_soil_available_nitrogen_and_microbial_properties_in_subalpine_coniferous_forest,_western_sichuan,_china（in_chinese_with_english_abstract",deqing_d,,
chen_et_al_2010,"chen_et_al2010_short-term_effects_of_night_warming_and_nitrogen_addition_on_soil_available_nitrogen_and_microbial_properties_in_subalpine_coniferous_forest,_western_sichuan,_china（in_chinese_with_english_abstract",deqing_f,,
chen_et_al_2010,"chen_et_al2010_short-term_effects_of_night_warming_and_nitrogen_addition_on_soil_available_nitrogen_and_microbial_properties_in_subalpine_coniferous_forest,_western_sichuan,_china（in_chinese_with_english_abstract",deqing_f2,,
chen_et_al_2010,"chen_et_al2010_short-term_effects_of_night_warming_and_nitrogen_addition_on_soil_available_nitrogen_and_microbial_properties_in_subalpine_coniferous_forest,_western_sichuan,_china（in_chinese_with_english_abstract",deqing_f3,,
chen_et_al_2011,"chen_et_al_2011_shifts_in_species_composition_constrain_restoration_of_overgrazed_grassland_using_nitrogen_fertilization_in_inner_mongolian_steppe,_china_plosone_6,_e16909",imgers_hg_2005_f,,
chen_et_al_2011,"chen_et_al_2011_shifts_in_species_composition_constrain_restoration_of_overgrazed_grassland_using_nitrogen_fertilization_in_inner_mongolian_steppe,_china_plosone_6,_e16909",imgers_hg_2005_f2,,
chen_et_al_2011,"chen_et_al_2011_shifts_in_species_composition_constrain_restoration_of_overgrazed_grassland_using_nitrogen_fertilization_in_inner_mongolian_steppe,_china_plosone_6,_e16909",imgers_hg_2005_i,,
chen_et_al_2011,"chen_et_al_2011_shifts_in_species_composition_constrain_restoration_of_overgrazed_grassland_using_nitrogen_fertilization_in_inner_mongolian_steppe,_china_plosone_6,_e16909",imgers_hg_2005_if,,
chen_et_al_2011,"chen_et_al_2011_shifts_in_species_composition_constrain_restoration_of_overgrazed_grassland_using_nitrogen_fertilization_in_inner_mongolian_steppe,_china_plosone_6,_e16909",imgers_hg_2005_if2,,
chen_et_al_2012,"chen_et_al,_2012_effects_of_nitrogen_deposition_on_soil_organic_carbon_fractions_in_the_subtropical_forest_ecosystems_of_s_china_",huangpu_f,,
chen_et_al_2012,"chen,_x,_liu,_j,_deng,_q,_yan,_j,_&_zhang,_d_(2012)_effects_of_elevated_co_2_and_nitrogen_addition_on_soil_organic_carbon_fractions_in_a_subtropical_forest plant_and_soil, 357(1-2),_25-34",scbg_c,,
chen_et_al_2012,"chen,_x,_liu,_j,_deng,_q,_yan,_j,_&_zhang,_d_(2012)_effects_of_elevated_co_2_and_nitrogen_addition_on_soil_organic_carbon_fractions_in_a_subtropical_forest plant_and_soil, 357(1-2),_25-34",scbg_cf,,
chen_et_al_2012,"chen,_x,_liu,_j,_deng,_q,_yan,_j,_&_zhang,_d_(2012)_effects_of_elevated_co_2_and_nitrogen_addition_on_soil_organic_carbon_fractions_in_a_subtropical_forest plant_and_soil, 357(1-2),_25-34",scbg_f,,
chen_et_al_2014,"chen_et_al,_2014_do_the_rich_always_become_richer?_characterizing_the_leaf
physiological_response_of_the_high-yielding_rice_cultivar
takanari_to_free-air_co2_enrichment_plant_cell_physiol_55(2):_381–391_(2014)",riceface_japan_ko_2012_3558_13960_c,,
chen_et_al_2014,"chen_et_al,_2014_do_the_rich_always_become_richer?_characterizing_the_leaf
physiological_response_of_the_high-yielding_rice_cultivar
takanari_to_free-air_co2_enrichment_plant_cell_physiol_55(2):_381–391_(2014)",riceface_japan_ko_2013_3558_13960_c,,
chen_et_al_2014,"chen_et_al,_2014_do_the_rich_always_become_richer?_characterizing_the_leaf
physiological_response_of_the_high-yielding_rice_cultivar
takanari_to_free-air_co2_enrichment_plant_cell_physiol_55(2):_381–391_(2014)",riceface_japan_ta_2012_3558_13960_c,,
chen_et_al_2014,"chen_et_al,_2014_do_the_rich_always_become_richer?_characterizing_the_leaf
physiological_response_of_the_high-yielding_rice_cultivar
takanari_to_free-air_co2_enrichment_plant_cell_physiol_55(2):_381–391_(2014)",riceface_japan_ta_2013_3558_13960_c,,
chen_et_al_2015,"chen,_c,_et_al_seed_vigor_of_contrasting_rice_cultivars_in_response_to_elevated_carbon_dioxide_field_crops_research_178_(2015)_63–68",riceface_zhongcun_2013_c,,
chen_et_al_2015,"chen,_c,_et_al_seed_vigor_of_contrasting_rice_cultivars_in_response_to_elevated_carbon_dioxide_field_crops_research_178_(2015)_63–68",abag_mature_f,,
chen_et_al_2015,"chen,_c,_et_al_seed_vigor_of_contrasting_rice_cultivars_in_response_to_elevated_carbon_dioxide_field_crops_research_178_(2015)_63–68",abag_mature_f2,,
chen_et_al_2015,"chen,_c,_et_al_seed_vigor_of_contrasting_rice_cultivars_in_response_to_elevated_carbon_dioxide_field_crops_research_178_(2015)_63–68",abag_mature_f3,,
chen_et_al_2015,"chen,_c,_et_al_seed_vigor_of_contrasting_rice_cultivars_in_response_to_elevated_carbon_dioxide_field_crops_research_178_(2015)_63–68",abag_mature_f4,,
chen_et_al_2015,"chen,_c,_et_al_seed_vigor_of_contrasting_rice_cultivars_in_response_to_elevated_carbon_dioxide_field_crops_research_178_(2015)_63–68",abag_mature_f5,,
chen_et_al_2019,"chen,_f,_yan,_g,_xing,_y,_zhang,_j,_wang,_q,_wang,_h,__&_liu,_t_(2019)_effects_of_n_addition_and_precipitation_reduction_on_soil_respiration_and_its_components_in_a_temperate_forest agricultural_and_forest_meteorology, 271,_336-345",changbai_d,,
chen_et_al_2019,"chen,_f,_yan,_g,_xing,_y,_zhang,_j,_wang,_q,_wang,_h,__&_liu,_t_(2019)_effects_of_n_addition_and_precipitation_reduction_on_soil_respiration_and_its_components_in_a_temperate_forest agricultural_and_forest_meteorology, 271,_336-345",changbai_df,,
chen_et_al_2019,"chen,_f,_yan,_g,_xing,_y,_zhang,_j,_wang,_q,_wang,_h,__&_liu,_t_(2019)_effects_of_n_addition_and_precipitation_reduction_on_soil_respiration_and_its_components_in_a_temperate_forest agricultural_and_forest_meteorology, 271,_336-345",changbai_f,,
cheng_et_al_2007,"cheng,_l,_leavitt,_s_w,_kimball,_b_a,_pinter_jr,_p_j,_ottman,_m_j,_matthias,_a,__&_thompson,_t_l_(2007)_dynamics_of_labile_and_recalcitrant_soil_carbon_pools_in_a_sorghum_free-air_co2_enrichment_(face)_agroecosystem soil_biology_and_biochemistry, 39(9),_2250-2263",maricopaface_sorghum98_c,,
cheng_et_al_2007,"cheng,_l,_leavitt,_s_w,_kimball,_b_a,_pinter_jr,_p_j,_ottman,_m_j,_matthias,_a,__&_thompson,_t_l_(2007)_dynamics_of_labile_and_recalcitrant_soil_carbon_pools_in_a_sorghum_free-air_co2_enrichment_(face)_agroecosystem soil_biology_and_biochemistry, 39(9),_2250-2263",maricopaface_sorghum99_c,,
cheng_et_al_2007,"cheng,_l,_leavitt,_s_w,_kimball,_b_a,_pinter_jr,_p_j,_ottman,_m_j,_matthias,_a,__&_thompson,_t_l_(2007)_dynamics_of_labile_and_recalcitrant_soil_carbon_pools_in_a_sorghum_free-air_co2_enrichment_(face)_agroecosystem soil_biology_and_biochemistry, 39(9),_2250-2263",maricopaface_sorghum99_ci,,
cheng_et_al_2007,"cheng,_l,_leavitt,_s_w,_kimball,_b_a,_pinter_jr,_p_j,_ottman,_m_j,_matthias,_a,__&_thompson,_t_l_(2007)_dynamics_of_labile_and_recalcitrant_soil_carbon_pools_in_a_sorghum_free-air_co2_enrichment_(face)_agroecosystem soil_biology_and_biochemistry, 39(9),_2250-2263",maricopaface_sorghum99_i,,
cheng_et_al_2009,"_cheng_x,_luo_y,_su_b,_verburg_psj,_hui_d,_obrist_d,_arnone_ja,_iii,_johnson_dw,_evans_rd_2009_responses_of_net_ecosystem_co2_exchange_to_nitrogen_fertilization_in_experimentally_manipulated_grassland_ecosystems_agricultural_and_forest_meteorology_149(11):_1956-1963",manhattan_f,,
cheng_et_al_2016,"cheng,_y,_et_al_ten_years_of_elevated_atmospheric_co2_doesn't_alter_soil_nitrogen_availability_in_a_rice_paddy_soil_biology_&_biochemistry_98_(2016)_99e108",riceface_zhongcun_2011_c,,
cheng_et_al_2016,"cheng,_y,_et_al_ten_years_of_elevated_atmospheric_co2_doesn't_alter_soil_nitrogen_availability_in_a_rice_paddy_soil_biology_&_biochemistry_98_(2016)_99e108",riceface_zhongcun_2011_cf,,
cheng_et_al_2016,"cheng,_y,_et_al_ten_years_of_elevated_atmospheric_co2_doesn't_alter_soil_nitrogen_availability_in_a_rice_paddy_soil_biology_&_biochemistry_98_(2016)_99e108",riceface_zhongcun_2011_f,,
cheng_et_al_2016,"cheng,_y,_et_al_ten_years_of_elevated_atmospheric_co2_doesn't_alter_soil_nitrogen_availability_in_a_rice_paddy_soil_biology_&_biochemistry_98_(2016)_99e108",riceface_zhongcun_2014_cf,,
cheng_et_al_2016,"cheng,_y,_et_al_ten_years_of_elevated_atmospheric_co2_doesn't_alter_soil_nitrogen_availability_in_a_rice_paddy_soil_biology_&_biochemistry_98_(2016)_99e108",riceface_zhongcun_2014_f,,
cherwin_and_knapp_2012,"cherwin,_k,_knapp,_a_(2012)_Unexpected_patterns_of_sensitivity_to_drought_in_three_semi-arid_grasslands_oecologia_169,_845-852",foun_d,,
cherwin_and_knapp_2012,"cherwin,_k,_knapp,_a_(2012)_Unexpected_patterns_of_sensitivity_to_drought_in_three_semi-arid_grasslands_oecologia_169,_845-852",foun_d2,,
cherwin_and_knapp_2012,"cherwin,_k,_knapp,_a_(2012)_Unexpected_patterns_of_sensitivity_to_drought_in_three_semi-arid_grasslands_oecologia_169,_845-852",sand_d,,
cherwin_and_knapp_2012,"cherwin,_k,_knapp,_a_(2012)_Unexpected_patterns_of_sensitivity_to_drought_in_three_semi-arid_grasslands_oecologia_169,_845-852",sand_d2,,
cherwin_and_knapp_2012,"cherwin,_k,_knapp,_a_(2012)_Unexpected_patterns_of_sensitivity_to_drought_in_three_semi-arid_grasslands_oecologia_169,_845-852",sgs_d,,
cherwin_and_knapp_2012,"cherwin,_k,_knapp,_a_(2012)_Unexpected_patterns_of_sensitivity_to_drought_in_three_semi-arid_grasslands_oecologia_169,_845-852",sgs_d2,,
chi_et_al_2013,chi_et_al2013_acclimation_of_foliar_respiration_and_photosynthesis_in_response_to_experimental_warming_in_a_temperate_steppe_in_northern_china_plos,duolun_c_w,,
christensen_et_al_1997,"christensen_tr,_michelsen_a,_jonasson_s_&_schmidt_ik_(1997)_carbon_dioxide_and_methane_exchange_of_a_subarctic_heath_in_response_to_climate_change_related_environmental_manipulations_oikos,_79,_34-44",abisko_subalpine_f,,
christensen_et_al_1997,"christensen_tr,_michelsen_a,_jonasson_s_&_schmidt_ik_(1997)_carbon_dioxide_and_methane_exchange_of_a_subarctic_heath_in_response_to_climate_change_related_environmental_manipulations_oikos,_79,_34-44",abisko_subalpine_fw,,
christensen_et_al_1997,"christensen_tr,_michelsen_a,_jonasson_s_&_schmidt_ik_(1997)_carbon_dioxide_and_methane_exchange_of_a_subarctic_heath_in_response_to_climate_change_related_environmental_manipulations_oikos,_79,_34-44",abisko_subalpine_w,,
christiansen_et_al_2012,"christiansen_et_al,_2012_high_arctic_heath_soil_respiration_and_biogeochemical
dynamics_during_summer_and_autumn_freeze-in_–_effects
of_long-term_enhanced_water_and_nutrient_supply_global_change_biology_(2012)_18,_3224–3236,_doi:_101111/j1365-2486201202770x",zackenberg_f,,
christina_et_al_2015,"christina,_m,_le_maire,_g,_battie‐laclau,_p,_nouvellon,_y,_bouillet,_j_p,_jourdan,_c,__&_laclau,_j_p_(2015)_measured_and_modeled_interactive_effects_of_potassium_deficiency_and_water_deficit_on_gross_primary_productivity_and_light-use_efficiency_in_eucalyptus_grandis_plantations global_change_biology, 21(5),_2022-2039",itatinga_d,,
christina_et_al_2015,"christina,_m,_le_maire,_g,_battie‐laclau,_p,_nouvellon,_y,_bouillet,_j_p,_jourdan,_c,__&_laclau,_j_p_(2015)_measured_and_modeled_interactive_effects_of_potassium_deficiency_and_water_deficit_on_gross_primary_productivity_and_light-use_efficiency_in_eucalyptus_grandis_plantations global_change_biology, 21(5),_2022-2039",itatinga_fk,,
christina_et_al_2015,"christina,_m,_le_maire,_g,_battie‐laclau,_p,_nouvellon,_y,_bouillet,_j_p,_jourdan,_c,__&_laclau,_j_p_(2015)_measured_and_modeled_interactive_effects_of_potassium_deficiency_and_water_deficit_on_gross_primary_productivity_and_light-use_efficiency_in_eucalyptus_grandis_plantations global_change_biology, 21(5),_2022-2039",itatinga_fkd,,
chung_et_al_2007,"chung,_h,_zak,_d_r,_reich,_p_b,_&_ellsworth,_d_s_(2007)_plant_species_richness,_elevated_co2,_and_atmospheric_nitrogen_deposition_alter_soil_microbial_community_composition_and_function global_change_biology, 13(5),_980-989",biocon_c,,
chung_et_al_2007,"chung,_h,_zak,_d_r,_reich,_p_b,_&_ellsworth,_d_s_(2007)_plant_species_richness,_elevated_co2,_and_atmospheric_nitrogen_deposition_alter_soil_microbial_community_composition_and_function global_change_biology, 13(5),_980-989",biocon_cf,,
chung_et_al_2007,"chung,_h,_zak,_d_r,_reich,_p_b,_&_ellsworth,_d_s_(2007)_plant_species_richness,_elevated_co2,_and_atmospheric_nitrogen_deposition_alter_soil_microbial_community_composition_and_function global_change_biology, 13(5),_980-989",biocon_f,,
cipriotti_et_al_2007,"cipriotti_et_al,_2007_does_drought_control_emergence_and_survival_of_grass_seedlings_in_semi-arid_rangelands?_An_example_with_a_patagonian_species",patagonia_d,,
cipriotti_et_al_2007,"cipriotti_et_al,_2007_does_drought_control_emergence_and_survival_of_grass_seedlings_in_semi-arid_rangelands?_An_example_with_a_patagonian_species",patagonia_d2,,
cipriotti_et_al_2007,"cipriotti_et_al,_2007_does_drought_control_emergence_and_survival_of_grass_seedlings_in_semi-arid_rangelands?_An_example_with_a_patagonian_species",patagonia_d3,,
cipriotti_et_al_2007,"cipriotti,_p_a,_flombaum,_p,_sala,_o_e,_&_aguiar,_m_r_(2007)_does_drought_control_emergence_and_survival_of_grass_seedlings_in_semi-arid_rangelands?:_an_example_with_a_patagonian_species_journal_of_arid_environments,_72(3),_162-174",riomayo_d,,
cipriotti_et_al_2007,"cipriotti,_p_a,_flombaum,_p,_sala,_o_e,_&_aguiar,_m_r_(2007)_does_drought_control_emergence_and_survival_of_grass_seedlings_in_semi-arid_rangelands?:_an_example_with_a_patagonian_species_journal_of_arid_environments,_72(3),_162-174",riomayo_d2,,
cipriotti_et_al_2007,"cipriotti,_p_a,_flombaum,_p,_sala,_o_e,_&_aguiar,_m_r_(2007)_does_drought_control_emergence_and_survival_of_grass_seedlings_in_semi-arid_rangelands?:_an_example_with_a_patagonian_species_journal_of_arid_environments,_72(3),_162-174",riomayo_d3,,
clemmensen_and_michelsen_2006,"clemmensen&michelsen,_2006_integrated_long-term_responses_of_an_arctic–alpine_willow_and_associated_ectomycorrhizal_fungi_to_an_altered_environment_can_j_bot_84,_831-843",abisko_fellfield_f,,
clemmensen_and_michelsen_2006,"clemmensen&michelsen,_2006_integrated_long-term_responses_of_an_arctic–alpine_willow_and_associated_ectomycorrhizal_fungi_to_an_altered_environment_can_j_bot_84,_831-843",abisko_fellfield_fw2,,
clemmensen_and_michelsen_2006,"clemmensen&michelsen,_2006_integrated_long-term_responses_of_an_arctic–alpine_willow_and_associated_ectomycorrhizal_fungi_to_an_altered_environment_can_j_bot_84,_831-843",abisko_fellfield_w2,,
cleveland_and_townsend_2006,"cleveland_cc,_townsend_ar_(2006)_nutrient_additions_to_a_tropical_rain_forest_drive_substantial_soil_carbon_dioxide_losses_to_the_atmosphere_proceedings_of_the_national_academy_of_sciences_of_the_united_states_of_america,_103,_10316-10321",gdfr_f,,
cleveland_et_al_2006,"cleveland,_c_c,_reed,_s_c,_townsend,_a_r_(2006)_nutrient_regulation_of_organic_matter_decomposition_in_a_tropical_rain_forest_ecology,_87,_492-503",gdfr_d,,
cleveland_et_al_2006,"cleveland,_c_c,_reed,_s_c,_townsend,_a_r_(2006)_nutrient_regulation_of_organic_matter_decomposition_in_a_tropical_rain_forest_ecology,_87,_492-503",gdfr_d2,,
