citation,exp,full_reference,
bai_et_al_2015,tongyu_saline_f3,bai_x_cheng_j-h_zheng_s-x_zhan_s-x_and_bai_y-f_2014_ecophysiological_responses_of_leymus_chinensis_to_nitrogen_and_phosphorus_additions_in_a_typical_steppe_chinese_journal_of_plant_ecology_38:_103-115,
bai_et_al_2015,tongyu_saline_f4,bai_x_cheng_j-h_zheng_s-x_zhan_s-x_and_bai_y-f_2014_ecophysiological_responses_of_leymus_chinensis_to_nitrogen_and_phosphorus_additions_in_a_typical_steppe_chinese_journal_of_plant_ecology_38:_103-115,
bai_et_al_2015,tongyu_saline_f,bai_x_cheng_j-h_zheng_s-x_zhan_s-x_and_bai_y-f_2014_ecophysiological_responses_of_leymus_chinensis_to_nitrogen_and_phosphorus_additions_in_a_typical_steppe_chinese_journal_of_plant_ecology_38:_103-115,
baker_et_al_1997,35.2_-101.91_c,baker_jt_allen_lh_boote_kj_and_pickering_nb_1997_rice_responses_to_drought_under_carbon_dioxide_enrichment_1_growth_and_yield_global_change_biology_3_119-128,
baker_et_al_1997,35.2_-101.91_cd,baker_jt_allen_lh_boote_kj_and_pickering_nb_1997_rice_responses_to_drought_under_carbon_dioxide_enrichment_1_growth_and_yield_global_change_biology_3_119-128,
baker_et_al_1997,35.2_-101.91_d,baker_jt_allen_lh_boote_kj_and_pickering_nb_1997_rice_responses_to_drought_under_carbon_dioxide_enrichment_1_growth_and_yield_global_change_biology_3_119-128,
ball_and_drake_1998,cb_c,ball_as_drake_bg_1998_stimulation_of_soil_respiration_by_carbon_dioxide_enrichment_of_marsh_vegetation_soil_biology_and_biochemistry_30_1203-1205,
bannayan_et_al_2005,riceface_shizukuishi_a_1998_c,"bannayan_et_al_2005_modeling_the_interactive_effects_of_atmospheric_co2_and
n_on_rice_growth_and_yield_field_crops_research_93_2005_237–251",
bannayan_et_al_2005,riceface_shizukuishi_a_1998_cf,"bannayan_et_al_2005_modeling_the_interactive_effects_of_atmospheric_co2_and
n_on_rice_growth_and_yield_field_crops_research_93_2005_237–251",
bannayan_et_al_2005,riceface_shizukuishi_a_1998_f,"bannayan_et_al_2005_modeling_the_interactive_effects_of_atmospheric_co2_and
n_on_rice_growth_and_yield_field_crops_research_93_2005_237–251",
bannayan_et_al_2005,riceface_shizukuishi_a_1999_c,"bannayan_et_al_2005_modeling_the_interactive_effects_of_atmospheric_co2_and
n_on_rice_growth_and_yield_field_crops_research_93_2005_237–251",
bannayan_et_al_2005,riceface_shizukuishi_a_1999_cf2,"bannayan_et_al_2005_modeling_the_interactive_effects_of_atmospheric_co2_and
n_on_rice_growth_and_yield_field_crops_research_93_2005_237–251",
bannayan_et_al_2005,riceface_shizukuishi_a_1999_cf,"bannayan_et_al_2005_modeling_the_interactive_effects_of_atmospheric_co2_and
n_on_rice_growth_and_yield_field_crops_research_93_2005_237–251",
bannayan_et_al_2005,riceface_shizukuishi_a_1999_f2,"bannayan_et_al_2005_modeling_the_interactive_effects_of_atmospheric_co2_and
n_on_rice_growth_and_yield_field_crops_research_93_2005_237–251",
bannayan_et_al_2005,riceface_shizukuishi_a_1999_f,"bannayan_et_al_2005_modeling_the_interactive_effects_of_atmospheric_co2_and
n_on_rice_growth_and_yield_field_crops_research_93_2005_237–251",
bannayan_et_al_2005,riceface_shizukuishi_a_2000_c,"bannayan_et_al_2005_modeling_the_interactive_effects_of_atmospheric_co2_and
n_on_rice_growth_and_yield_field_crops_research_93_2005_237–251",
bannayan_et_al_2005,riceface_shizukuishi_a_2000_cf2,"bannayan_et_al_2005_modeling_the_interactive_effects_of_atmospheric_co2_and
n_on_rice_growth_and_yield_field_crops_research_93_2005_237–251",
bannayan_et_al_2005,riceface_shizukuishi_a_2000_cf,"bannayan_et_al_2005_modeling_the_interactive_effects_of_atmospheric_co2_and
n_on_rice_growth_and_yield_field_crops_research_93_2005_237–251",
bannayan_et_al_2005,riceface_shizukuishi_a_2000_f2,"bannayan_et_al_2005_modeling_the_interactive_effects_of_atmospheric_co2_and
n_on_rice_growth_and_yield_field_crops_research_93_2005_237–251",
bannayan_et_al_2005,riceface_shizukuishi_a_2000_f,"bannayan_et_al_2005_modeling_the_interactive_effects_of_atmospheric_co2_and
n_on_rice_growth_and_yield_field_crops_research_93_2005_237–251",
bannayan_et_al_2005,riceface_shizukuishi_a_2004_c,"bannayan_et_al_2005_modeling_the_interactive_effects_of_atmospheric_co2_and
n_on_rice_growth_and_yield_field_crops_research_93_2005_237–251",
bannayan_et_al_2005,riceface_shizukuishi_a_2004_cf2,"bannayan_et_al_2005_modeling_the_interactive_effects_of_atmospheric_co2_and
n_on_rice_growth_and_yield_field_crops_research_93_2005_237–251",
bannayan_et_al_2005,riceface_shizukuishi_a_2004_cf,"bannayan_et_al_2005_modeling_the_interactive_effects_of_atmospheric_co2_and
n_on_rice_growth_and_yield_field_crops_research_93_2005_237–251",
bannayan_et_al_2005,riceface_shizukuishi_a_2004_f2,"bannayan_et_al_2005_modeling_the_interactive_effects_of_atmospheric_co2_and
n_on_rice_growth_and_yield_field_crops_research_93_2005_237–251",
bannayan_et_al_2005,riceface_shizukuishi_a_2004_f,"bannayan_et_al_2005_modeling_the_interactive_effects_of_atmospheric_co2_and
n_on_rice_growth_and_yield_field_crops_research_93_2005_237–251",
bannayan_et_al_2007,riceface_shizukuishi_a_2000_c,"anten_et_al_elevated_co
2
and_nitrogen_availability_have_interactive
effects_on_canopy_carbon_gain_in_rice_new_phytologist
2003
161
:_459–471",
bannayan_et_al_2007,riceface_shizukuishi_a_1998_c,"bannayan_et_al_2005_modeling_the_interactive_effects_of_atmospheric_co2_and
n_on_rice_growth_and_yield_field_crops_research_93_2005_237–251",
bannayan_et_al_2009,33.26_-84.28_c,bannayan_m_soler_cm_garcia_ag_guerra_lc_and_hoogenboom_g_2009_interactive_effects_of_elevated_[co2]_and_temperature_on_growth_and_development_of_a_short-_and_long-season_peanut_cultivar_climatic_change_93_389-406,
bannayan_et_al_2009,33.26_-84.28_cw,bannayan_m_soler_cm_garcia_ag_guerra_lc_and_hoogenboom_g_2009_interactive_effects_of_elevated_[co2]_and_temperature_on_growth_and_development_of_a_short-_and_long-season_peanut_cultivar_climatic_change_93_389-406,
bannayan_et_al_2009,33.26_-84.28_w,bannayan_m_soler_cm_garcia_ag_guerra_lc_and_hoogenboom_g_2009_interactive_effects_of_elevated_[co2]_and_temperature_on_growth_and_development_of_a_short-_and_long-season_peanut_cultivar_climatic_change_93_389-406,
barbosa_et_al_2014,sawc_f,barbosa_et_al_2014_short-term_effect_of_nutrient_availability_and_rainfall_distribution_onbiomass_production_and_leaf_nutrient_content_of_savanna_tree_species_plos_one_93:_e9261,
barbosa_et_al_2014,sawc_h,barbosa_et_al_2014_short-term_effect_of_nutrient_availability_and_rainfall_distribution_onbiomass_production_and_leaf_nutrient_content_of_savanna_tree_species_plos_one_93:_e9261,
barbosa_et_al_2014,sawc_hf,barbosa_et_al_2014_short-term_effect_of_nutrient_availability_and_rainfall_distribution_onbiomass_production_and_leaf_nutrient_content_of_savanna_tree_species_plos_one_93:_e9261,
bardgett_et_al_1999,nerc2_w,bardgett_rd_kandeler_e_tscherko_d_hobbs_pj_bezemer_tm_jones_th_thompson_lj_1999_below-ground_microbial_community_development_in_a_high_temperature_world_oikos_85_193-203,
barger_et_al_2002,10.5_-66.92_f,barger_n_n_d’antonio_c_m_ghneim_t_brink_k_and_cuevas_e_2002_nutrient_limitation_to_primary_productivity_in_a_secondary_savanna_in_venezuela_biotropica_344_493–501_https://doiorg/101111/j1744-74292002tb00569x,
barnard_et_al_2005,48.28_-2.233_c,barnard_r_leadley_p_w_lensi_r_and_barthes_l_plant_soil_microbial_and_soil_inorganic_nitrogen_responses_to_elevated_co2:_a_study_in_microcosms_of_holcus_lanatus_acta_oecologica_27_171-178_2005,
barnard_et_al_2006,jrbp_face_c,barnard_r_roux_x_l_e_hungate_b_a_cleland_e_e_blankinship_j_c_barthes_l_and_leadley_p_w_2006_several_components_of_global_change_alter_nitrifying_and_denitrifying_activities_in_an_annual_grassland_functional_ecology_204_557–564_https://doiorg/101111/j1365-2435200601146x,
barnard_et_al_2006,jrbp_face_f,barnard_r_roux_x_l_e_hungate_b_a_cleland_e_e_blankinship_j_c_barthes_l_and_leadley_p_w_2006_several_components_of_global_change_alter_nitrifying_and_denitrifying_activities_in_an_annual_grassland_functional_ecology_204_557–564_https://doiorg/101111/j1365-2435200601146x,
barnard_et_al_2006,jrbp_face_i,barnard_r_roux_x_l_e_hungate_b_a_cleland_e_e_blankinship_j_c_barthes_l_and_leadley_p_w_2006_several_components_of_global_change_alter_nitrifying_and_denitrifying_activities_in_an_annual_grassland_functional_ecology_204_557–564_https://doiorg/101111/j1365-2435200601146x,
barnard_et_al_2006,jrbp_face_w,barnard_r_roux_x_l_e_hungate_b_a_cleland_e_e_blankinship_j_c_barthes_l_and_leadley_p_w_2006_several_components_of_global_change_alter_nitrifying_and_denitrifying_activities_in_an_annual_grassland_functional_ecology_204_557–564_https://doiorg/101111/j1365-2435200601146x,
barraclough_et_al_1989,rothamsted_d,barraclough_p_b_kuhlmann_h_and_weir_a_h_1989_the_effects_of_prolonged_drought_and_nitrogen_fertilizer_on_root_and_shoot_growth_and_water_uptake_by_winter_wheat journal_of_agronomy_and_crop_science 1635_352-360,
barraclough_et_al_1989,rothamsted_df,barraclough_p_b_kuhlmann_h_and_weir_a_h_1989_the_effects_of_prolonged_drought_and_nitrogen_fertilizer_on_root_and_shoot_growth_and_water_uptake_by_winter_wheat journal_of_agronomy_and_crop_science 1635_352-360,
barraclough_et_al_1989,rothamsted_f,barraclough_p_b_kuhlmann_h_and_weir_a_h_1989_the_effects_of_prolonged_drought_and_nitrogen_fertilizer_on_root_and_shoot_growth_and_water_uptake_by_winter_wheat journal_of_agronomy_and_crop_science 1635_352-360,
barron-gafford_et_al_2005,32.578_-110.932_c,barron-gafford_g_et_al_growth_of_eastern_cottonwoods_populus_deltoides_in_elevated_[co2]_stimulates_stand-level_respiration_and_rhizodeposition_of_carbohydrates_accelerates_soil_nutrient_depletion_yet_stimulates_above-_and_belowground_biomass_production_global_change_biol_11_1220-1233_2005,
barton_et_al_2009,41.95_-72.117_w,barton_b_t_beckerman_a_p_and_schmitz_o_j_climate_warming_strengthens_indirest_interactions_in_an_old-field_food_web_ecology_90_2346-2351_2009,
barton_et_al_2012,-33.61_150.74_b_c,barton_c_v_m_et_al_effects_of_elevated_atmospheric_[co2]_on_instantaneous_transpiration_efficiency_at_leaf_and_canopy_scales_in_eucalyptus_saligna_global_change_biol_18_585-595_2012,
bassin_et_al_2012,aw1_f,bassin_s_schalajda_j_vogel_a_and_suter_m_different_types_of_sub-alpine_grassland_respond_similarly_to_elevated_nitrogen_deposition_in_terms_of_productivity_and_sedge_abundance_j_veg_sci_23_1024-1034_2012,
bassin_et_al_2012,bv1_f,bassin_s_schalajda_j_vogel_a_and_suter_m_different_types_of_sub-alpine_grassland_respond_similarly_to_elevated_nitrogen_deposition_in_terms_of_productivity_and_sedge_abundance_j_veg_sci_23_1024-1034_2012,
bassin_et_al_2012,bv2_f,bassin_s_schalajda_j_vogel_a_and_suter_m_different_types_of_sub-alpine_grassland_respond_similarly_to_elevated_nitrogen_deposition_in_terms_of_productivity_and_sedge_abundance_j_veg_sci_23_1024-1034_2012,
bassin_et_al_2012,flx_f,bassin_s_schalajda_j_vogel_a_and_suter_m_different_types_of_sub-alpine_grassland_respond_similarly_to_elevated_nitrogen_deposition_in_terms_of_productivity_and_sedge_abundance_j_veg_sci_23_1024-1034_2012,
bassin_et_al_2012,aw2_f,bassin_s_schalajda_j_vogel_a_and_suter_m_different_types_of_sub-alpine_grassland_respond_similarly_to_elevated_nitrogen_deposition_in_terms_of_productivity_and_sedge_abundance_j_veg_sci_23_1024-1034_2012,
bassin_et_al_2012,dar_f,bassin_s_schalajda_j_vogel_a_and_suter_m_different_types_of_sub-alpine_grassland_respond_similarly_to_elevated_nitrogen_deposition_in_terms_of_productivity_and_sedge_abundance_j_veg_sci_23_1024-1034_2012,
bassin_et_al_2012,na1_f,bassin_s_schalajda_j_vogel_a_and_suter_m_different_types_of_sub-alpine_grassland_respond_similarly_to_elevated_nitrogen_deposition_in_terms_of_productivity_and_sedge_abundance_j_veg_sci_23_1024-1034_2012,
bassin_et_al_2012,na2_f,bassin_s_schalajda_j_vogel_a_and_suter_m_different_types_of_sub-alpine_grassland_respond_similarly_to_elevated_nitrogen_deposition_in_terms_of_productivity_and_sedge_abundance_j_veg_sci_23_1024-1034_2012,
bassin_et_al_2012,pbe_f,bassin_s_schalajda_j_vogel_a_and_suter_m_different_types_of_sub-alpine_grassland_respond_similarly_to_elevated_nitrogen_deposition_in_terms_of_productivity_and_sedge_abundance_j_veg_sci_23_1024-1034_2012,
bassin_et_al_2012,stu_f,bassin_s_schalajda_j_vogel_a_and_suter_m_different_types_of_sub-alpine_grassland_respond_similarly_to_elevated_nitrogen_deposition_in_terms_of_productivity_and_sedge_abundance_j_veg_sci_23_1024-1034_2012,
bassirirad_et_al_1996,toolik_wetsedge2_c,bassirirad_h_et_al_response_of_eriophorum_vaginatum_to_co2_enrichment_at_different_soil_temperatures:_effects_on_growth_root_respiration_and_po4_3-_uptake_kinetics_new_phytol_1996_133_423-430,
bassirirad_et_al_1996,toolik_wetsedge2_cw2,bassirirad_h_et_al_response_of_eriophorum_vaginatum_to_co2_enrichment_at_different_soil_temperatures:_effects_on_growth_root_respiration_and_po4_3-_uptake_kinetics_new_phytol_1996_133_423-430,
bassirirad_et_al_1996,toolik_wetsedge2_cw-,bassirirad_h_et_al_response_of_eriophorum_vaginatum_to_co2_enrichment_at_different_soil_temperatures:_effects_on_growth_root_respiration_and_po4_3-_uptake_kinetics_new_phytol_1996_133_423-430,
bassirirad_et_al_1996,toolik_wetsedge2_w2,bassirirad_h_et_al_response_of_eriophorum_vaginatum_to_co2_enrichment_at_different_soil_temperatures:_effects_on_growth_root_respiration_and_po4_3-_uptake_kinetics_new_phytol_1996_133_423-430,
bassirirad_et_al_1996,toolik_wetsedge2_w-,bassirirad_h_et_al_response_of_eriophorum_vaginatum_to_co2_enrichment_at_different_soil_temperatures:_effects_on_growth_root_respiration_and_po4_3-_uptake_kinetics_new_phytol_1996_133_423-430,
bassow_et_al_1994,hgc_ap_c,bassow_sl_mcconnaughay_kdm_and_bazzaz_fa_1994_the_response_of_temperate_tree_seedlings_grown_in_elevated_co2_to_extreme_temperature_events_ecological_applications_4_593-603,
bassow_et_al_1994,hgc_ap_cf,bassow_sl_mcconnaughay_kdm_and_bazzaz_fa_1994_the_response_of_temperate_tree_seedlings_grown_in_elevated_co2_to_extreme_temperature_events_ecological_applications_4_593-603,
bassow_et_al_1994,hgc_ap_f,bassow_sl_mcconnaughay_kdm_and_bazzaz_fa_1994_the_response_of_temperate_tree_seedlings_grown_in_elevated_co2_to_extreme_temperature_events_ecological_applications_4_593-603,
bassow_et_al_1994,hgc_ba_c,bassow_sl_mcconnaughay_kdm_and_bazzaz_fa_1994_the_response_of_temperate_tree_seedlings_grown_in_elevated_co2_to_extreme_temperature_events_ecological_applications_4_593-603,
bassow_et_al_1994,hgc_ba_cf,bassow_sl_mcconnaughay_kdm_and_bazzaz_fa_1994_the_response_of_temperate_tree_seedlings_grown_in_elevated_co2_to_extreme_temperature_events_ecological_applications_4_593-603,
bassow_et_al_1994,hgc_ba_f,bassow_sl_mcconnaughay_kdm_and_bazzaz_fa_1994_the_response_of_temperate_tree_seedlings_grown_in_elevated_co2_to_extreme_temperature_events_ecological_applications_4_593-603,
bassow_et_al_1994,hgc_bp_c,bassow_sl_mcconnaughay_kdm_and_bazzaz_fa_1994_the_response_of_temperate_tree_seedlings_grown_in_elevated_co2_to_extreme_temperature_events_ecological_applications_4_593-603,
bassow_et_al_1994,hgc_bp_cf,bassow_sl_mcconnaughay_kdm_and_bazzaz_fa_1994_the_response_of_temperate_tree_seedlings_grown_in_elevated_co2_to_extreme_temperature_events_ecological_applications_4_593-603,
bassow_et_al_1994,hgc_bp_f,bassow_sl_mcconnaughay_kdm_and_bazzaz_fa_1994_the_response_of_temperate_tree_seedlings_grown_in_elevated_co2_to_extreme_temperature_events_ecological_applications_4_593-603,
battie-laclau_et_al_2014,itatinga_df2,battie-laclau_et_al_2014_effects_of_potassium_and_sodium_supply_on_drought-adaptive_mechanisms_in_eucalyptus_grandis_plantations,
battie-laclau_et_al_2014,itatinga_f2,battie-laclau_et_al_2014_effects_of_potassium_and_sodium_supply_on_drought-adaptive_mechanisms_in_eucalyptus_grandis_plantations,
bauer_et_al_2004,hf_f_pr_f2,bauer_ga_bazzaz_fa_minocha_r_long_sp_magill_a_aber_jd_berntson_gm_2004_effects_of_chronic_n_additions_on_tissue_chemistry_photosynthetic_capacity_and_carbon_sequestration_potential_of_a_red_pine_pinus_resinosa_ait_stand_in_the_ne_united_state,
bauweraerts_et_al_2013,33.57_-83.19_c,bauweraerts_i_wertin_tm_ameye_m_mcguire_ma_teskey_ro_and_steppe_k_2013_the_effect_of_heat_waves_elevated_[co2]_and_low_soil_water_availability_on_northern_red_oak_quercus_rubra_l_seedlings_global_change_biology_19_517-528,
bauweraerts_et_al_2013,33.57_-83.19_cd,bauweraerts_i_wertin_tm_ameye_m_mcguire_ma_teskey_ro_and_steppe_k_2013_the_effect_of_heat_waves_elevated_[co2]_and_low_soil_water_availability_on_northern_red_oak_quercus_rubra_l_seedlings_global_change_biology_19_517-528,
bauweraerts_et_al_2013,33.57_-83.19_cdw,bauweraerts_i_wertin_tm_ameye_m_mcguire_ma_teskey_ro_and_steppe_k_2013_the_effect_of_heat_waves_elevated_[co2]_and_low_soil_water_availability_on_northern_red_oak_quercus_rubra_l_seedlings_global_change_biology_19_517-528,
bauweraerts_et_al_2013,33.57_-83.19_cw,bauweraerts_i_wertin_tm_ameye_m_mcguire_ma_teskey_ro_and_steppe_k_2013_the_effect_of_heat_waves_elevated_[co2]_and_low_soil_water_availability_on_northern_red_oak_quercus_rubra_l_seedlings_global_change_biology_19_517-528,
bauweraerts_et_al_2013,33.57_-83.19_d,bauweraerts_i_wertin_tm_ameye_m_mcguire_ma_teskey_ro_and_steppe_k_2013_the_effect_of_heat_waves_elevated_[co2]_and_low_soil_water_availability_on_northern_red_oak_quercus_rubra_l_seedlings_global_change_biology_19_517-528,
bauweraerts_et_al_2013,33.57_-83.19_dw,bauweraerts_i_wertin_tm_ameye_m_mcguire_ma_teskey_ro_and_steppe_k_2013_the_effect_of_heat_waves_elevated_[co2]_and_low_soil_water_availability_on_northern_red_oak_quercus_rubra_l_seedlings_global_change_biology_19_517-528,
bauweraerts_et_al_2013,33.57_-83.19_w,bauweraerts_i_wertin_tm_ameye_m_mcguire_ma_teskey_ro_and_steppe_k_2013_the_effect_of_heat_waves_elevated_[co2]_and_low_soil_water_availability_on_northern_red_oak_quercus_rubra_l_seedlings_global_change_biology_19_517-528,
bazot_et_al_2006,46.77_9.87_c,bazot_s_ulff_l_blum_h_nguyen_c_and_robin_c_effects_of_elevated_co2_concentration_on_rhizodeposition_from_lolium_perenne_grown_on_soil_exposed_to_9_years_of_co2_enrichment_soil_biol_biochem_38_729-736_2006,
bazot_et_al_2006,swissface_lolium2_cf,bazot_et_al_2006_effects_of_elevated_co2_concentration_on_rhizodeposition_from_lolium_perenne_grown_on_soil_exposed_to_9_years_of_co2_enrichment_soil_biology_and_biochemistry_38_729-736,
bazot_et_al_2006,swissface_lolium2_f,bazot_et_al_2006_effects_of_elevated_co2_concentration_on_rhizodeposition_from_lolium_perenne_grown_on_soil_exposed_to_9_years_of_co2_enrichment_soil_biology_and_biochemistry_38_729-736,
bazot_et_al_2006,swissface_lolium2_c,bazot_et_al_2006_effects_of_elevated_co2_concentration_on_rhizodeposition_from_lolium_perenne_grown_on_soil_exposed_to_9_years_of_co2_enrichment_soil_biology_and_biochemistry_38_729-736,
bazot_et_al_2008,swissface_lolium2_c,bazot_s_blum_h_and_robin_c_2008_nitrogen_rhizodeposition_assessed_by_a_15nh3_shoot_pulse-labelling_of_lolium_perenne_l_grown_on_soil_exposed_to_9_years_of_co2_enrichment environmental_and_experimental_botany_63:410-415,
bazot_et_al_2008,swissface_lolium2_cf,bazot_s_blum_h_and_robin_c_2008_nitrogen_rhizodeposition_assessed_by_a_15nh3_shoot_pulse-labelling_of_lolium_perenne_l_grown_on_soil_exposed_to_9_years_of_co2_enrichment environmental_and_experimental_botany_63:410-415,
bazot_et_al_2008,swissface_lolium2_f,bazot_s_blum_h_and_robin_c_2008_nitrogen_rhizodeposition_assessed_by_a_15nh3_shoot_pulse-labelling_of_lolium_perenne_l_grown_on_soil_exposed_to_9_years_of_co2_enrichment environmental_and_experimental_botany_63:410-415,
bazzaz_and_miao_1993,hgc_ap_c,bazzaz_fa_miao_sl_1993_successional_status_seed_size_and_responses_of_tree_seedlings_to_co2_light_and_nutrients_ecology_74_104-112,
bazzaz_and_miao_1993,hgc_ap_cf,bazzaz_fa_miao_sl_1993_successional_status_seed_size_and_responses_of_tree_seedlings_to_co2_light_and_nutrients_ecology_74_104-112,
bazzaz_and_miao_1993,hgc_ar_c,bazzaz_fa_miao_sl_1993_successional_status_seed_size_and_responses_of_tree_seedlings_to_co2_light_and_nutrients_ecology_74_104-112,
bazzaz_and_miao_1993,hgc_ar_cf,bazzaz_fa_miao_sl_1993_successional_status_seed_size_and_responses_of_tree_seedlings_to_co2_light_and_nutrients_ecology_74_104-112,
bazzaz_and_miao_1993,hgc_ba2_c,bazzaz_fa_miao_sl_1993_successional_status_seed_size_and_responses_of_tree_seedlings_to_co2_light_and_nutrients_ecology_74_104-112,
bazzaz_and_miao_1993,hgc_ba2_cf,bazzaz_fa_miao_sl_1993_successional_status_seed_size_and_responses_of_tree_seedlings_to_co2_light_and_nutrients_ecology_74_104-112,
bazzaz_and_miao_1993,hgc_bp_cf,bazzaz_fa_miao_sl_1993_successional_status_seed_size_and_responses_of_tree_seedlings_to_co2_light_and_nutrients_ecology_74_104-112,
bazzaz_and_miao_1993,hgc_fa_c,bazzaz_fa_miao_sl_1993_successional_status_seed_size_and_responses_of_tree_seedlings_to_co2_light_and_nutrients_ecology_74_104-112,
bazzaz_and_miao_1993,hgc_fa_cf,bazzaz_fa_miao_sl_1993_successional_status_seed_size_and_responses_of_tree_seedlings_to_co2_light_and_nutrients_ecology_74_104-112,
bazzaz_and_miao_1993,hgc_qr_c,bazzaz_fa_miao_sl_1993_successional_status_seed_size_and_responses_of_tree_seedlings_to_co2_light_and_nutrients_ecology_74_104-112,
bazzaz_and_miao_1993,hgc_qr_cf,bazzaz_fa_miao_sl_1993_successional_status_seed_size_and_responses_of_tree_seedlings_to_co2_light_and_nutrients_ecology_74_104-112,
bazzaz_and_miao_1993,hgc2_bp_c,bazzaz_fa_miao_sl_1993_successional_status_seed_size_and_responses_of_tree_seedlings_to_co2_light_and_nutrients_ecology_74_104-112,
bazzaz_and_miao_1993,hgc_ap_f,bazzaz_fa_miao_sl_1993_successional_status_seed_size_and_responses_of_tree_seedlings_to_co2_light_and_nutrients_ecology_74_104-112,
bazzaz_and_miao_1993,hgc_ar_f,bazzaz_fa_miao_sl_1993_successional_status_seed_size_and_responses_of_tree_seedlings_to_co2_light_and_nutrients_ecology_74_104-112,
bazzaz_and_miao_1993,hgc_ba2_f,bazzaz_fa_miao_sl_1993_successional_status_seed_size_and_responses_of_tree_seedlings_to_co2_light_and_nutrients_ecology_74_104-112,
bazzaz_and_miao_1993,hgc_fa_f,bazzaz_fa_miao_sl_1993_successional_status_seed_size_and_responses_of_tree_seedlings_to_co2_light_and_nutrients_ecology_74_104-112,
bechtold_and_inouye_2007,43.42_-112.67_f,bechtold_h_a_and_inouye_r_s_2007_distribution_of_carbon_and_nitrogen_in_sagebrush_steppe_after_six_years_of_nitrogen_addition_and_shrub_removal_journal_of_arid_environments_711_122–132_https://doiorg/101016/jjaridenv200702004,
beierkuhnlein_et_al_2011,bayreuth_event3_d,beierkuhnlein_c_thiel_d_jentsch_a_willner_e_and_kreyling_j_2011_ecotypes_of_european_grass_species_respond_differently_to_warming_and_extreme_drought journal_of_ecology 993_703-713,
beierkuhnlein_et_al_2011,bayreuth_event3_dw,beierkuhnlein_c_thiel_d_jentsch_a_willner_e_and_kreyling_j_2011_ecotypes_of_european_grass_species_respond_differently_to_warming_and_extreme_drought journal_of_ecology 993_703-713,
beierkuhnlein_et_al_2011,bayreuth_event3_w,beierkuhnlein_c_thiel_d_jentsch_a_willner_e_and_kreyling_j_2011_ecotypes_of_european_grass_species_respond_differently_to_warming_and_extreme_drought journal_of_ecology 993_703-713,
belay-tedla_et_al_2009,gpa_w,belay-tedla_a_zhou_xh_su_b_wan_sq_luo_yq_2009_labile_recalcitrant_and_microbial_carbon_and_nitrogen_pools_of_a_tallgrass_prairie_soil_in_the_us_great_plains_subjected_to_experimental_warming_and_clipping_soil_biology_and_biochemistry_41_110-116,
belote_et_al_2003,ornl_face_liqui2_c,belote_r_t_weltzin_j_f_and_norby_r_j_2004_response_of_an_understory_plant_community_to_elevated_[co2]_depends_on_differential_responses_of_dominant_invasive_species_and_is_mediated_by_soil_water_availability_new_phytologist_1613_827-835,
belote_et_al_2004,ornl_face_liqui4_c,belote_r_t_weltzin_j_f_and_norby_r_j_response_of_an_understory_plant_community_to_elevated_[co2]_depends_on_differential_responses_of_dominant_invasive_species_and_is_mediated_by_soil_water_availability_new_phytol_161_827-835_2004,
bennett_and_adams_2001,-22.283_117.666_f,bennett_l_t_and_adams_m_a_response_of_a_perennial_grassland_to_nitrogen_and_phosphorus_additions_in_sub-tropical_semi-arid_australia_j_arid_environ_48_289-308_2001,
benot_et_al_2013,fourier_dw,benot_m_l_saccone_p_pautrat_e_vicente_r_colace_m_p_grigulis_k__and_lavorel_s_2014_stronger_short-term_effects_of_mowing_than_extreme_summer_weather_on_a_subalpine_grassland ecosystems 173_458-472,
berendse_et_al_2001,dwingeloo_c,berendse_f_et_al_raised_atmospheric_co2_levels_and_increased_n_deposition_cause_shifts_in_plant_species_composition_and_production_in_sphagnum_bogs_global_change_biol_7_591-598_2001,
berendse_et_al_2001,dwingeloo_f,berendse_f_et_al_raised_atmospheric_co2_levels_and_increased_n_deposition_cause_shifts_in_plant_species_composition_and_production_in_sphagnum_bogs_global_change_biol_7_591-598_2001,
berendse_et_al_2001,chaux-des-breuleux_c,berendse_f_et_al_raised_atmospheric_co2_levels_and_increased_n_deposition_cause_shifts_in_plant_species_composition_and_production_in_sphagnum_bogs_global_change_biol_7_591-598_2001,
berendse_et_al_2001,chaux-des-breuleux_f,berendse_f_et_al_raised_atmospheric_co2_levels_and_increased_n_deposition_cause_shifts_in_plant_species_composition_and_production_in_sphagnum_bogs_global_change_biol_7_591-598_2001,
berendse_et_al_2001,kopparasmyren_c,berendse_f_et_al_raised_atmospheric_co2_levels_and_increased_n_deposition_cause_shifts_in_plant_species_composition_and_production_in_sphagnum_bogs_global_change_biol_7_591-598_2001,
berendse_et_al_2001,kopparasmyren_f,berendse_f_et_al_raised_atmospheric_co2_levels_and_increased_n_deposition_cause_shifts_in_plant_species_composition_and_production_in_sphagnum_bogs_global_change_biol_7_591-598_2001,
berendse_et_al_2001,salmisuo_c,berendse_f_et_al_raised_atmospheric_co2_levels_and_increased_n_deposition_cause_shifts_in_plant_species_composition_and_production_in_sphagnum_bogs_global_change_biol_7_591-598_2001,
berendse_et_al_2001,salmisuo_f,berendse_f_et_al_raised_atmospheric_co2_levels_and_increased_n_deposition_cause_shifts_in_plant_species_composition_and_production_in_sphagnum_bogs_global_change_biol_7_591-598_2001,
